Alaska,Juneau,English
Alabama,Montgomery,English
Arizona,Phoenix,English
Arkansas,Little Rock,English
California,Sacramento,English
Colorado,Denver,English
Connecticut,Hartford,English
Delaware,Dover,English
Florida,Tallahassee,English
Georgia,Atlanta,English
Hawaii,Honolulu,English
Idaho,Boise,English
Illinois,Springfield,English
Indiana,Indianapolis,English
Iowa,Des Moines,English
Kansas,Topeka,English
Kentucky,Frankfort,English
Louisiana,Baton Rouge,English
Maine,Augusta,English
Maryland,Annapolis,English
Massachusetts,Boston,English
Michigan,Lansing,English
Minnesota,Saint Paul,English
Mississippi,Jackson,English
Missouri,Jefferson City,English
Montana,Helena,English
Nebraska,Lincoln,English
Nevada,Carson City,English
New Hampshire,Concord,English
New Jersey,Trenton,English
New Mexico,Santa Fe,English
New York,Albany,English
North Carolina,Raleigh,English
North Dakota,Bismarck,English
Ohio,Columbus,English
Oklahoma,Oklahoma City,English
Oregon,Salem,English
Pennsylvania,Harrisburg,English
Rhode Island,Providence,English
South Carolina,Columbia,English
South Dakota,Pierre,English
Tennessee,Nashville,English
Texas,Austin,English
Utah,Salt Lake City,English
Vermont,Montpelier,English
Virginia,Richmond,English
Washington,Olympia,English
West Virginia,Charleston,English
Wisconsin,Madison,English
Wyoming,Cheyenne,English
